selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
142	pneumophila	7	11.61	40	0.09	149.30	54.81	5			desconocido
143	lasek	8	13.27	46	0.11	148.18	62.53	5			desconocido
144	gasometría	10	16.59	58	0.14	146.63	77.97	8			desconocido
145	inflamatorio	5	8.29	29	0.07	146.63	38.99	5			desconocido
146	granulomas	6	9.95	35	0.08	145.62	46.71	5			desconocido
147	heterocigosis	6	9.95	35	0.08	145.62	46.71	5			desconocido
148	intraoperatorio	9	14.93	53	0.12	143.97	69.88	7			desconocido
149	astigmatismo	26	43.13	154	0.36	142.97	201.54	9			desconocido
150	laparoscópico	35	58.06	208	0.49	142.40	271.05	12			desconocido
151	postoperatorio	40	66.36	239	0.56	141.48	309.30	26			desconocido
152	extracorpóreo	21	34.84	126	0.30	140.77	162.19	6			desconocido
153	vasculiti	13	21.57	78	0.18	140.77	100.40	7			desconocido
154	corticoesteroid	10	16.59	60	0.14	140.77	77.23	6			desconocido
155	broncoscopia	6	9.95	36	0.08	140.77	46.34	6			desconocido
156	corticosteroides	5	8.29	30	0.07	140.77	38.62	5			desconocido
157	bronquio	13	21.57	79	0.19	138.64	100.04	8			desconocido
158	epigenético	97	160.92	590	1.39	138.48	746.30	14			desconocido
159	bronquitis	77	127.74	469	1.10	138.25	592.19	16	Q173022		desconocido
160	epistaxis	11	18.25	67	0.16	138.25	84.60	8	Q202013		desconocido
161	pulmonary	10	16.59	61	0.14	138.01	76.88	6			desconocido
162	epigenoma	9	14.93	55	0.13	137.71	69.15	6			desconocido
163	roriz	9	14.93	55	0.13	137.71	69.15	8			desconocido
164	laparoscopia	15	24.88	92	0.22	137.11	115.14	9			desconocido
165	inspiratorio	12	19.91	74	0.17	136.23	91.97	9			desconocido
166	vinho	24	39.81	149	0.35	135.14	183.59	21			desconocido
167	posoperatorio	21	34.84	131	0.31	134.37	160.42	16			desconocido
168	diafragmático	32	53.09	200	0.47	134.06	244.32	16			desconocido
169	neumólogo	8	13.27	50	0.12	134.06	61.08	7			desconocido
170	chlamydophila	9	14.93	57	0.13	131.97	68.46	6			desconocido
171	reintroducción	9	14.93	57	0.13	131.97	68.46	8	Q784280		desconocido
172	malformaciones	11	18.25	70	0.16	131.22	83.56	5			desconocido
173	genodermatosis	7	11.61	45	0.11	129.65	53.02	7			desconocido
174	hemoptisis	22	36.50	143	0.34	127.97	166.11	17			desconocido
175	legionella	16	26.54	104	0.24	127.97	120.81	6			desconocido
