selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
150	probabilidad	66	720.98	19555	46.03	15.71	239.81	13			desconocido
151	eficiente	46	502.50	13771	32.41	15.55	166.25	18			desconocido
152	sociológico	10	109.24	3028	7.13	15.38	35.93	7			desconocido
153	analysis	16	174.78	4863	11.45	15.32	57.37	9			desconocido
154	ecológico	53	578.97	16382	38.56	15.06	188.37	15			desconocido
155	diferencial	26	284.02	8047	18.94	15.04	92.35	6			desconocido
156	consumo	115	1256.25	35845	84.37	14.94	406.94	33			desconocido
157	alza	9	98.32	2831	6.66	14.80	31.69	7			desconocido
158	formalizar	14	152.94	4407	10.37	14.79	49.28	10			desconocido
159	desigualdad	26	284.02	8226	19.36	14.71	91.28	11			desconocido
160	monopolio	21	229.40	6663	15.68	14.67	73.61	10			desconocido
161	ecología	17	185.71	5399	12.71	14.66	59.56	5			desconocido
162	balanza	9	98.32	2897	6.82	14.46	31.31	7			desconocido
163	objetivo	22	240.33	7234	17.03	14.16	75.65	12			desconocido
164	analizar	85	928.54	28187	66.34	14.04	290.96	35			desconocido
165	expectativa	32	349.57	10705	25.20	13.91	109.02	16			desconocido
166	decisión	270	2949.47	90837	213.80	13.83	916.99	38			desconocido
167	gasto	66	720.98	22316	52.52	13.76	223.54	22			desconocido
168	restricción	59	644.51	20005	47.08	13.73	199.52	25			desconocido
169	postulado	9	98.32	3054	7.19	13.72	30.42	8			desconocido
170	principios	10	109.24	3396	7.99	13.70	33.79	8			desconocido
171	tasa	120	1310.87	41375	97.38	13.50	402.08	26			desconocido
172	metodología	24	262.17	8318	19.58	13.43	80.19	12			desconocido
173	policy	10	109.24	3474	8.18	13.40	33.37	9			desconocido
174	equidad	9	98.32	3128	7.36	13.39	30.02	7			desconocido
175	beneficio	103	1125.17	36095	84.95	13.28	342.02	34			desconocido
176	estudiado	16	174.78	5613	13.21	13.27	53.10	10			desconocido
177	riguroso	16	174.78	5655	13.31	13.17	52.88	9			desconocido
178	predecir	29	316.79	10259	24.15	13.15	95.79	14			desconocido
179	becker	13	142.01	4615	10.86	13.11	42.86	8			desconocido
180	ilimitado	10	109.24	3586	8.44	12.98	32.78	7			desconocido
181	cognitivo	21	229.40	7578	17.84	12.89	68.59	7			desconocido
182	bono	18	196.63	6554	15.43	12.78	58.50	5			desconocido
183	recurso	216	2359.57	79342	186.74	12.67	698.46	47			desconocido
184	mercancía	44	480.65	16234	38.21	12.61	141.92	19			desconocido
185	dinámico	36	393.26	13290	31.28	12.60	116.08	12			desconocido
186	handbook	12	131.09	4439	10.45	12.58	38.65	9			desconocido
187	conducta	49	535.27	18136	42.69	12.57	157.76	15			desconocido
188	esperado	30	327.72	11203	26.37	12.46	96.10	13			desconocido
189	intercambio	73	797.45	27552	64.85	12.33	232.41	23			desconocido
190	importación	26	284.02	10035	23.62	12.05	81.71	12			desconocido
191	satisfacer	38	415.11	14717	34.64	12.01	119.18	20			desconocido
192	competidor	26	284.02	10152	23.89	11.91	81.15	10			desconocido
193	coordinación	34	371.41	13335	31.39	11.86	105.84	12			desconocido
194	escasez	28	305.87	11172	26.29	11.66	86.29	11			desconocido
195	paradoja	10	109.24	4018	9.46	11.58	30.69	6			desconocido
196	razonamiento	12	131.09	4832	11.37	11.55	36.78	7			desconocido
197	aproximación	34	371.41	13764	32.40	11.49	103.87	14			desconocido
198	complejidad	30	327.72	12183	28.67	11.45	91.48	20			desconocido
199	laboral	70	764.68	28456	66.97	11.44	213.32	19			desconocido
200	costoso	20	218.48	8192	19.28	11.36	60.67	9			desconocido
201	disciplina	74	808.37	30424	71.61	11.31	223.99	24			desconocido
202	factor	136	1485.66	56396	132.73	11.22	409.52	38			desconocido
203	cálculo	49	535.27	20446	48.12	11.15	146.99	14			desconocido
204	comercio	145	1583.97	60561	142.54	11.14	434.73	35			desconocido
205	interacción	58	633.59	24336	57.28	11.09	173.41	24			desconocido
206	competitivo	26	284.02	10961	25.80	11.03	77.51	14			desconocido
207	acumulación	21	229.40	8858	20.85	11.03	62.58	10			desconocido
208	development	21	229.40	8897	20.94	10.98	62.41	5			desconocido
209	matemática	37	404.19	15778	37.14	10.91	109.53	9			desconocido
210	marx	26	284.02	11127	26.19	10.87	76.80	10			desconocido
211	analítico	14	152.94	6024	14.18	10.81	41.22	10			desconocido
212	crédito	75	819.30	32656	76.86	10.68	219.18	22			desconocido
213	vendedor	20	218.48	8751	20.60	10.63	58.27	11			desconocido
214	económicas	14	152.94	6194	14.58	10.51	40.51	10			desconocido
215	energético	31	338.64	13817	32.52	10.43	89.28	9			desconocido
216	ciencia	216	2359.57	96494	227.11	10.41	621.20	38			desconocido
217	limitación	30	327.72	13513	31.80	10.32	85.83	13			desconocido
218	institucional	39	426.03	17590	41.40	10.31	111.49	13			desconocido
219	recompensa	22	240.33	10003	23.54	10.23	62.57	7			desconocido
220	implicación	19	207.56	8674	20.42	10.19	53.90	13			desconocido
221	kenneth	17	185.71	7757	18.26	10.19	48.24	8			desconocido
222	bank	35	382.34	16097	37.89	10.11	98.82	8			desconocido
223	explícito	19	207.56	8792	20.69	10.05	53.43	13			desconocido
224	socioeconómico	12	131.09	5564	13.10	10.03	33.70	9			desconocido
