ataúlfo,7.52
ateneo,14.1
atentar,15.98
atila,20.68
atla,5.64
atomismo,10.34
atomista,6.58
atomización,7.52
atraso,21.62
atrevimiento,3.76
attlee,3.76
atómico,150.37
auge,226.5
augústulo,17.86
aunar,15.04
aurangzeb,6.58
aureliano,15.98
auriñaciense,2.82
auscultación,3.76
austera,4.7
austeridad,20.68
austerlitz,5.64
austero,23.5
australopithecus,5.64
austrias,10.34
austronesio,5.64
austríaco,11.28
autarquía,10.34
autoafirmación,3.76
autocracia,9.4
autocrático,15.98
autodeterminación,16.92
autofinanciación,3.76
autogobierno,30.07
autonomismo,3.76
autonomista,5.64
autonomía,198.31
autoproclamar,11.28
autoproclamar él,3.76
autoritario,57.33
autoritarismo,18.8
autosuficiencia,12.22
autosuficiente,15.04
autárquico,4.7
avance,421.05
avellana,6.58
avempace,3.76
avenches,10.34
aventicum,5.64
averroes,11.28
avicena,36.65
avieno,2.82
avisos,4.7
avistar,30.07
avito,6.58
aviñón,26.32
avogadro,26.32
ayuno,17.86
ayurveda,6.58
ayurvédico,4.7
ayutthaya,10.34
azafrán,83.65
aziliense,2.82
azpilicueta,4.7
azteca,20.68
azúcar,265.97
años,108.08
aśoka,4.7
babbage,6.58
babilonia,119.36
babilonio,16.92
babilónico,28.2
babur,9.4
bacalao,9.4
backgammon,3.76
bacon,21.62
bacteriología,5.64
bacteriófago,10.34
bactria,6.58
bactriana,11.28
badalona,50.75
badiano,6.58
baekje,25.38
baer,18.8
bagauda,8.46
bagdad,46.05
bajomedieval,8.46
bakunin,28.2
balancín,9.4
balanza,22.56
balcanes,111.84
balcánico,31.01
baldassare,4.7
balfour,14.1
balhae,7.52
ballesta,16.92
banato,5.64
bandidaje,3.76
bandolerismo,7.52
banovina,4.7
banquete,41.35
barato,69.55
barbarella,3.76
barcelonesa,4.7
barcelonés,14.1
barcino,9.4
bardot,5.64
barkal,2.82
baronio,2.82
barraquer,8.46
bartolomeu,5.64
barómetro,4.7
bashō,11.28
basilea,62.03
bastetano,2.82
bata,8.46
batata,8.46
batidora,3.76
battuta,3.76
batu,4.7
baudin,4.7
baus,4.7
bauxita,8.46
bayer,84.59
beadle,4.7
beber él,4.7
bebida,199.25
bebido,5.64
becquerel,10.34
beduino,9.4
beef,7.52
belavezha,4.7
belfort,11.28
beligerante,10.34
beltraneja,6.58
beluchistán,2.82
benedictina,8.46
benedictino,14.1
beneš,15.04
benivieni,2.82
benozzo,4.7
bereber,14.1
berenguer,30.07
berna,62.97
bernoulli,11.28
berruguete,6.58
berthollet,8.46
bertran,5.64
berzelius,20.68
bessel,8.46
besós,16.92
bethlehem,11.28
bhimbetka,3.76
biblos,6.58
bicameral,14.1
bienio,12.22
biga,7.52
bikini,20.68
bilis,22.56
biologicista,6.58
biología,133.46
biomolécula,5.64
bioquímica,26.32
bioquímico,10.34
biosfera,19.74
biotecnología,13.16
bisexual,36.65
bisexualidad,5.64
bismarck,34.77
bitinia,11.28
bizancio,58.27
bizantina,12.22
bizantino,30.07
bizantín,52.63
biólogo,39.47
blaise,8.46
bleuler,5.64
blitzkrieg,2.82
bocio,4.7
bodin,8.46
bohemia,118.42
bohr,15.98
boicotear,14.1
bolcheviqu,41.35
bolchevismo,9.4
bolso,16.92
boltzmann,7.52
bonanza,10.34
bonaplata,4.7
boole,6.58
borbones,14.1
borbón,6.58
borbónica,2.82
borbónico,24.44
borgoña,116.54
borgoñona,2.82
borgoñón,7.52
bormio,2.82
borrell,9.4
bosnia,143.8
bosnio,11.28
bosquejar,2.82
bosquimanos,3.76
boticario,18.8
botánica,38.53
bougainville,8.46
boyle,22.56
boyo,3.76
bracara,3.76
braga,6.58
brahe,5.64
brahmán,7.52
brasero,4.7
braudel,22.56
brebaje,3.76
breno,3.76
bretaña,365.6
brezhnev,2.82
britania,41.35
británico,202.07
broca,11.28
brocado,11.28
bronce,101.5
bronzino,4.7
broz,7.52
brunfels,5.64
brézhnev,75.19
brújula,8.46
bubónico,5.64
buchner,4.7
buckland,10.34
buda,57.33
budismo,114.66
budista,109.96
buffon,15.04
buhen,2.82
