selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
336	nutrición	15	130.81	2958	6.96	18.88	59.66	8			desconocido
337	ebullición	11	95.93	2177	5.12	18.81	43.68	7			desconocido
338	rapidez	30	261.62	5943	13.99	18.79	119.07	11			desconocido
339	celda	64	558.12	12824	30.18	18.58	252.62	12			desconocido
340	regresión	12	104.65	2416	5.69	18.49	47.26	6			desconocido
341	gradiente	16	139.53	3287	7.74	18.12	62.40	9			desconocido
342	nucleótido	12	104.65	2468	5.81	18.10	46.77	10			desconocido
343	destilación	11	95.93	2268	5.34	18.05	42.82	5			desconocido
344	relajación	11	95.93	2269	5.34	18.05	42.81	6			desconocido
345	azufre	23	200.58	4795	11.29	17.85	89.06	14			desconocido
346	líquido	73	636.61	15340	36.10	17.71	281.57	31			desconocido
347	síntesis	9	78.49	1891	4.45	17.71	34.72	9			desconocido
348	constituyent	8	69.77	1681	3.96	17.71	30.86	6			desconocido
349	monitoreo	14	122.09	2945	6.93	17.69	53.97	9			desconocido
350	ácido	34	296.50	7222	17.00	17.52	130.45	21			desconocido
351	empírico	24	209.30	5101	12.01	17.51	92.06	12			desconocido
352	asistencial	9	78.49	1917	4.51	17.47	34.48	5			desconocido
353	aromático	24	209.30	5135	12.09	17.39	91.75	13			desconocido
354	enlazado	8	69.77	1724	4.06	17.27	30.48	6			desconocido
355	nitrato	13	113.37	2807	6.61	17.24	49.48	6			desconocido
356	láser	22	191.85	4758	11.20	17.21	83.66	12			desconocido
357	inhibición	12	104.65	2609	6.14	17.12	45.51	8			desconocido
358	hidróxido	9	78.49	1962	4.62	17.07	34.09	6			desconocido
359	physics	12	104.65	2644	6.22	16.89	45.21	7			desconocido
360	metano	11	95.93	2436	5.73	16.80	41.34	7			desconocido
361	polarización	14	122.09	3106	7.31	16.77	52.57	8			desconocido
362	heterogéneo	15	130.81	3361	7.91	16.61	56.04	9			desconocido
363	técnica	347	3026.07	78065	183.74	16.54	1293.76	79			desconocido
364	contaminante	9	78.49	2025	4.77	16.54	33.55	8			desconocido
365	aditivo	9	78.49	2031	4.78	16.49	33.50	5			desconocido
366	obtener él	15	130.81	3392	7.98	16.45	55.78	13			desconocido
367	tridimensional	23	200.58	5229	12.31	16.37	85.30	11			desconocido
368	estructural	75	654.05	17068	40.17	16.35	278.01	32			desconocido
369	elemental	36	313.94	8194	19.29	16.35	133.43	19			desconocido
370	rayo	81	706.37	18623	43.83	16.18	298.69	23			desconocido
371	cloruro	22	191.85	5080	11.96	16.11	80.95	14			desconocido
372	atención	19	165.69	4420	10.40	15.99	69.64	10			desconocido
373	homogéneo	23	200.58	5414	12.74	15.80	83.80	13			desconocido
374	reaccionar	52	453.48	12258	28.85	15.78	189.31	25			desconocido
375	productos	12	104.65	2828	6.66	15.78	43.69	8			desconocido
376	potasio	21	183.13	5006	11.78	15.60	76.01	13			desconocido
377	absorber	74	645.33	17735	41.74	15.52	267.11	25			desconocido
378	purificación	10	87.21	2396	5.64	15.52	36.10	5			desconocido
379	mecanismo	154	1342.98	37340	87.88	15.34	552.51	45			desconocido
380	óptico	63	549.40	15348	36.12	15.27	225.47	27			desconocido
381	calor	105	915.67	25629	60.32	15.24	375.41	26			desconocido
382	sulfuro	10	87.21	2455	5.78	15.15	35.64	10			desconocido
383	aproximación	56	488.36	13764	32.40	15.13	199.49	21			desconocido
384	inducido	20	174.41	4921	11.58	15.12	71.21	16			desconocido
385	automatizado	11	95.93	2714	6.39	15.07	39.11	8			desconocido
386	catalizar	9	78.49	2234	5.26	14.98	31.89	7			desconocido
387	elástico	14	122.09	3479	8.19	14.97	49.58	6			desconocido
388	destructivo	16	139.53	4018	9.46	14.81	56.35	10			desconocido
389	intermediario	17	148.25	4279	10.07	14.78	59.80	7			desconocido
390	lineal	86	749.98	21664	50.99	14.76	302.40	31			desconocido
391	structure	9	78.49	2275	5.35	14.71	31.59	8			desconocido
392	fragmentación	14	122.09	3596	8.46	14.48	48.72	6			desconocido
393	atmosférico	37	322.67	9561	22.50	14.39	128.34	16			desconocido
394	mercurio	19	165.69	4919	11.58	14.36	65.84	12			desconocido
395	medido	12	104.65	3116	7.33	14.32	41.52	8			desconocido
396	transición	114	994.16	29836	70.22	14.21	392.73	41			desconocido
397	volátil	10	87.21	2642	6.22	14.07	34.27	10			desconocido
398	laboratorio	104	906.95	27600	64.96	14.01	355.59	49			desconocido
399	masa	216	1883.67	57378	135.05	14.00	738.15	48			desconocido
400	parámetro	57	497.08	15215	35.81	13.93	194.28	30			desconocido
401	imán	15	130.81	4013	9.45	13.90	51.06	5			desconocido
402	carbonato	12	104.65	3234	7.61	13.80	40.69	8			desconocido
403	fósforo	15	130.81	4058	9.55	13.74	50.75	13			desconocido
404	resuelto	14	122.09	3801	8.95	13.69	47.28	5			desconocido
405	intoxicación	10	87.21	2738	6.44	13.58	33.61	8			desconocido
406	constante	181	1578.44	49815	117.25	13.51	606.63	33			desconocido
407	formulación	22	191.85	6086	14.32	13.44	73.52	12			desconocido
408	identificación	66	575.56	18466	43.46	13.29	219.19	35			desconocido
409	titulación	11	95.93	3082	7.25	13.27	36.50	6			desconocido
410	soluble	13	113.37	3646	8.58	13.25	43.12	6			desconocido
411	inhibir	17	148.25	4800	11.30	13.17	56.17	11			desconocido
412	hígado	23	200.58	6511	15.32	13.13	75.88	10			desconocido
413	sulfato	11	95.93	3127	7.36	13.08	36.21	6			desconocido
414	sensibilidad	36	313.94	10273	24.18	13.03	118.24	20			desconocido
415	celular	76	662.77	21813	51.34	12.95	248.81	27			desconocido
416	experimental	81	706.37	23298	54.83	12.92	264.86	40			desconocido
417	conductor	12	104.65	3453	8.13	12.92	39.23	10			desconocido
418	dióxido	23	200.58	6647	15.64	12.86	75.00	16			desconocido
419	cuarzo	11	95.93	3181	7.49	12.85	35.86	8			desconocido
420	residuo	44	383.71	12768	30.05	12.81	143.16	18			desconocido
421	sensible	45	392.43	13120	30.88	12.75	146.02	29			desconocido
422	organismo	184	1604.60	53715	126.42	12.73	596.61	43			desconocido
423	toxina	11	95.93	3212	7.56	12.73	35.66	5			desconocido
424	detectar	83	723.82	24287	57.16	12.70	268.76	44			desconocido
425	simplificar	17	148.25	4974	11.71	12.70	55.05	15			desconocido
426	respiración	16	139.53	4729	11.13	12.58	51.51	10			desconocido
427	cálculo	69	601.73	20446	48.12	12.54	221.83	24			desconocido
428	microscopio	11	95.93	3269	7.69	12.51	35.31	7			desconocido
429	descomposición	19	165.69	5660	13.32	12.48	60.90	11			desconocido
430	vital	49	427.31	14620	34.41	12.46	156.91	13			desconocido
431	extracción	43	374.99	12846	30.23	12.44	137.60	16			desconocido
432	perpendicular	17	148.25	5088	11.98	12.42	54.34	9			desconocido
433	descubrimiento	110	959.27	32969	77.60	12.40	351.33	40			desconocido
434	microorganismo	15	130.81	4524	10.65	12.32	47.74	9			desconocido
435	analizar	93	811.02	28187	66.34	12.26	295.12	45			desconocido
436	ambiental	97	845.91	29594	69.65	12.18	306.64	26			desconocido
437	pureza	17	148.25	5213	12.27	12.12	53.58	14			desconocido
438	desintegración	14	122.09	4296	10.11	12.11	44.11	8			desconocido
439	determinar	222	1935.99	68214	160.55	12.09	698.89	74			desconocido
440	desecho	16	139.53	4929	11.60	12.06	50.29	7			desconocido
441	deseado	32	279.06	9883	23.26	12.03	100.44	19			desconocido
442	magnesio	12	104.65	3706	8.72	12.03	37.67	10			desconocido
443	paciente	145	1264.50	45088	106.12	11.95	453.31	32			desconocido
444	membrana	47	409.87	14617	34.40	11.95	146.92	19			desconocido
445	periódico	32	279.06	9975	23.48	11.92	99.90	16			desconocido
446	estudiado	18	156.97	5613	13.21	11.92	56.18	13			desconocido
447	extracto	21	183.13	6556	15.43	11.90	65.50	5			desconocido
448	transformado	19	165.69	5973	14.06	11.82	59.02	10			desconocido
449	medir	171	1491.24	53827	126.69	11.81	530.76	56			desconocido
450	beta	18	156.97	5693	13.40	11.75	55.71	7			desconocido
451	estable	65	566.84	20649	48.60	11.70	200.66	31			desconocido
452	atmósfera	57	497.08	18174	42.77	11.65	175.58	19			desconocido
453	sonda	28	244.18	8977	21.13	11.59	85.97	15			desconocido
454	sanguíneo	26	226.74	8390	19.75	11.51	79.52	6			desconocido
455	glucosa	11	95.93	3561	8.38	11.48	33.58	7			desconocido
456	matemático	72	627.89	23498	55.31	11.38	218.71	25			desconocido
457	medicinal	30	261.62	9798	23.06	11.38	91.09	12			desconocido
458	energético	42	366.27	13817	32.52	11.29	126.97	26			desconocido
459	óxido	26	226.74	8559	20.14	11.29	78.57	14			desconocido
460	filtración	13	113.37	4277	10.07	11.29	39.30	8			desconocido
461	nutrient	17	148.25	5650	13.30	11.18	51.08	9			desconocido
462	reactor	29	252.90	9648	22.71	11.17	87.08	9			desconocido
463	interferencia	21	183.13	7002	16.48	11.14	62.97	11			desconocido
464	electrónico	181	1578.44	61204	144.05	10.99	538.12	49			desconocido
