selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
324	etnógrafo	18	23.59	653	1.54	15.75	65.10	6			desconocido
325	queer	125	163.79	4538	10.68	15.74	451.88	18			desconocido
326	psicosocial	21	27.52	765	1.80	15.69	75.78	15			desconocido
327	lukács	11	14.41	401	0.94	15.67	39.68	5			desconocido
328	interrelacionado	13	17.03	475	1.12	15.64	46.84	13			desconocido
329	grammar	50	65.52	1850	4.35	15.44	178.95	24			desconocido
330	antisocial	24	31.45	892	2.10	15.37	85.69	11			desconocido
331	autocontrol	18	23.59	670	1.58	15.34	64.22	10			desconocido
332	lingüístico	10	13.10	373	0.88	15.31	35.64	5	Q8162	1	muy_generico
333	positivismo	34	44.55	1293	3.04	15.01	119.92	16			desconocido
334	morgenstern	14	18.34	533	1.25	14.99	49.35	7			desconocido
335	readings	10	13.10	381	0.90	14.98	35.24	8			desconocido
336	categorización	26	34.07	998	2.35	14.87	91.25	23			desconocido
337	proverbio	30	39.31	1155	2.72	14.82	105.12	15			desconocido
338	comprender él	17	22.28	659	1.55	14.72	59.35	16			desconocido
339	aplicabilidad	12	15.72	469	1.10	14.59	41.71	10			desconocido
340	superávit	19	24.90	744	1.75	14.56	65.97	8			desconocido
341	monetario	263	344.62	10321	24.29	14.53	912.04	52			desconocido
342	condicionamiento	24	31.45	942	2.22	14.53	83.22	13			desconocido
343	heurístico	11	14.41	434	1.02	14.45	38.03	9			desconocido
344	fonético	95	124.48	3774	8.88	14.35	327.26	40	Q35395	2	muy_generico
345	silábico	23	30.14	915	2.15	14.33	79.17	12			desconocido
346	adagio	12	15.72	479	1.13	14.28	41.23	6			desconocido
347	etnicidad	13	17.03	520	1.22	14.25	44.61	11			desconocido
348	subordinación	38	49.79	1524	3.59	14.21	130.22	21			desconocido
349	integrador	21	27.52	847	1.99	14.13	71.74	18			desconocido
350	criminalizar	18	23.59	732	1.72	14.01	61.21	14			desconocido
351	desviado	34	44.55	1386	3.26	13.98	115.47	15			desconocido
352	razonamiento	118	154.62	4832	11.37	13.91	399.76	49			desconocido
353	disciplina	742	972.28	30424	71.61	13.89	2511.92	260			desconocido
354	religious	30	39.31	1233	2.90	13.86	101.43	12			desconocido
355	maximizar	80	104.83	3290	7.74	13.85	270.38	36			desconocido
356	lingüista	11	14.41	454	1.07	13.80	37.10	6			desconocido
357	burocracia	63	82.55	2624	6.18	13.67	211.42	17			desconocido
358	alarcos	15	19.66	626	1.47	13.64	50.28	5			desconocido
359	inconsciente	28	36.69	1174	2.76	13.58	93.62	11			desconocido
360	despenalización	22	28.83	923	2.17	13.57	73.53	8			desconocido
361	dicotomía	28	36.69	1176	2.77	13.55	93.53	22			desconocido
362	criminalización	12	15.72	506	1.19	13.50	39.99	8			desconocido
363	proponent	13	17.03	549	1.29	13.48	43.29	13			desconocido
364	cuantitativo	87	114.00	3676	8.65	13.47	289.63	45			desconocido
365	depreciación	15	19.66	637	1.50	13.40	49.79	8			desconocido
366	demografía	34	44.55	1448	3.41	13.36	112.68	17	Q37732	1	muy_generico
367	racional	212	277.79	9060	21.32	13.32	701.25	83			desconocido
368	normativo	95	124.48	4061	9.56	13.31	314.19	52			desconocido
369	vocálico	33	43.24	1411	3.32	13.31	109.12	9			desconocido
370	presuponer	32	41.93	1371	3.23	13.28	105.70	27			desconocido
371	religions	14	18.34	604	1.42	13.19	46.06	8			desconocido
372	macro	25	32.76	1079	2.54	13.18	82.23	20			desconocido
373	morbilidad	13	17.03	564	1.33	13.11	42.63	5			desconocido
374	epistemológico	23	30.14	1002	2.36	13.06	75.25	21			desconocido
375	consonántico	30	39.31	1309	3.08	13.04	98.07	12			desconocido
376	inductivo	26	34.07	1134	2.67	13.04	85.01	12			desconocido
377	bisexualidad	14	18.34	613	1.44	12.99	45.67	12			desconocido
378	homo	149	195.24	6549	15.41	12.94	485.04	20			desconocido
379	homosexual	15	19.66	663	1.56	12.86	48.67	7			desconocido
380	holístico	21	27.52	929	2.19	12.85	68.11	18			desconocido
381	libertario	80	104.83	3554	8.36	12.80	258.83	9			desconocido
382	institucionalizado	18	23.59	803	1.89	12.74	58.10	14			desconocido
383	delincuencia	76	99.59	3393	7.99	12.73	245.19	18			desconocido
384	subjetivo	109	142.83	4877	11.48	12.70	351.21	59			desconocido
385	ortográfica	13	17.03	583	1.37	12.67	41.83	10			desconocido
386	economic	98	128.41	4401	10.36	12.66	315.10	37			desconocido
387	ecologismo	13	17.03	584	1.37	12.65	41.79	8			desconocido
388	applied	38	49.79	1714	4.03	12.60	121.87	11			desconocido
389	marcaje	16	20.97	726	1.71	12.52	51.14	5			desconocido
390	fenomenológico	14	18.34	636	1.50	12.51	44.71	5			desconocido
391	sistematización	16	20.97	728	1.71	12.49	51.05	15			desconocido
392	grafema	10	13.10	455	1.07	12.49	31.91	5			desconocido
393	economy	41	53.72	1868	4.40	12.47	130.73	18			desconocido
394	maorí	38	49.79	1740	4.10	12.41	120.81	5			desconocido
395	homofobia	32	41.93	1465	3.45	12.41	101.74	14			desconocido
396	crecimiento	29	38.00	1329	3.13	12.40	92.15	14			desconocido
397	mutualista	12	15.72	553	1.30	12.33	38.01	5			desconocido
398	procedimental	11	14.41	507	1.19	12.32	34.84	6			desconocido
399	teorías	11	14.41	507	1.19	12.32	34.84	11			desconocido
400	alveolar	10	13.10	461	1.09	12.32	31.67	5			desconocido
401	perceptivo	13	17.03	603	1.42	12.25	41.02	10			desconocido
402	radicalización	17	22.28	793	1.87	12.17	53.46	7			desconocido
403	reorientación	11	14.41	516	1.21	12.11	34.48	8			desconocido
404	comunión	69	90.41	3239	7.62	12.10	216.18	7			desconocido
405	humanístico	26	34.07	1222	2.88	12.08	81.40	19			desconocido
406	jurisprudencia	67	87.79	3151	7.42	12.07	209.68	17			desconocido
407	remunerado	36	47.17	1694	3.99	12.07	112.63	10			desconocido
408	castración	14	18.34	660	1.55	12.04	43.75	6			desconocido
409	homofóbico	16	20.97	761	1.79	11.94	49.74	11			desconocido
410	oclusivo	18	23.59	865	2.04	11.81	55.61	8			desconocido
411	religiosidad	39	51.10	1875	4.41	11.80	120.46	19			desconocido
412	adverbio	22	28.83	1058	2.49	11.80	67.94	9			desconocido
413	contextual	18	23.59	875	2.06	11.67	55.23	16			desconocido
414	papiro	64	83.86	3116	7.33	11.65	196.19	11			desconocido
415	insumo	41	53.72	1997	4.70	11.65	125.65	19			desconocido
416	hipótesis	11	14.41	539	1.27	11.58	33.59	7			desconocido
417	jeroglífico	16	20.97	785	1.85	11.56	48.82	10			desconocido
418	teoría	155	203.10	7619	17.93	11.54	472.42	81			desconocido
419	wireless	33	43.24	1622	3.82	11.54	100.58	5			desconocido
420	significado	34	44.55	1688	3.97	11.42	103.00	30			desconocido
421	marx	223	292.21	11127	26.19	11.37	673.52	54			desconocido
422	conceptualización	13	17.03	654	1.54	11.27	39.07	10			desconocido
423	romántico	12	15.72	605	1.42	11.25	36.01	7			desconocido
424	historiografía	18	23.59	911	2.14	11.20	53.89	18			desconocido
425	enfoque	15	19.66	761	1.79	11.17	44.85	7			desconocido
426	historicidad	15	19.66	762	1.79	11.16	44.81	7			desconocido
427	desempleo	119	155.93	6092	14.34	11.07	353.80	23			desconocido
428	asimetría	27	35.38	1385	3.26	11.05	80.17	14			desconocido
429	segmentación	25	32.76	1286	3.03	11.02	74.11	9			desconocido
430	grecorromano	16	20.97	827	1.95	10.96	47.29	9			desconocido
431	insurreccional	13	17.03	673	1.58	10.95	38.38	5			desconocido
432	comprensión	262	343.31	13601	32.01	10.92	772.25	137			desconocido
433	islamista	17	22.28	882	2.08	10.92	50.13	5			desconocido
434	evolutivo	157	205.73	8260	19.44	10.77	458.91	46			desconocido
435	pervivencia	14	18.34	737	1.73	10.76	40.91	8			desconocido
436	observabl	16	20.97	844	1.99	10.74	46.69	14			desconocido
437	boswell	11	14.41	580	1.37	10.74	32.11	6			desconocido
438	homínido	22	28.83	1169	2.75	10.66	63.91	6			desconocido
439	economista	263	344.62	14023	33.00	10.62	762.33	61			desconocido
440	transitivo	16	20.97	853	2.01	10.62	46.38	8			desconocido
441	modismo	13	17.03	693	1.63	10.62	37.69	8			desconocido
442	frazer	17	22.28	909	2.14	10.59	49.19	6			desconocido
443	lesbianismo	16	20.97	856	2.01	10.59	46.28	12			desconocido
444	coste	12	15.72	642	1.51	10.59	34.71	6			desconocido
445	potestad	62	81.24	3321	7.82	10.57	179.19	11			desconocido
446	estructuración	21	27.52	1125	2.65	10.57	60.69	19			desconocido
447	jainismo	11	14.41	590	1.39	10.56	31.77	10			desconocido
448	religion	72	94.35	3874	9.12	10.52	207.50	14			desconocido
449	burguesa	12	15.72	647	1.52	10.50	34.54	9			desconocido
450	arqueología	141	184.76	7609	17.91	10.49	405.60	35			desconocido
451	cambridge	23	30.14	1248	2.94	10.43	65.93	15			desconocido
452	retórica	11	14.41	599	1.41	10.40	31.46	9			desconocido
453	beauvoir	17	22.28	932	2.19	10.33	48.41	11			desconocido
454	bíblico	211	276.48	11573	27.24	10.32	600.72	45			desconocido
455	filología	93	121.86	5099	12.00	10.32	264.83	36	Q40634	2	muy_generico
456	causalidad	26	34.07	1430	3.37	10.29	73.89	17			desconocido
457	pensador	95	124.48	5230	12.31	10.28	269.82	52			desconocido
458	theory	162	212.28	8954	21.07	10.24	458.95	69			desconocido
459	atención	80	104.83	4420	10.40	10.24	226.70	8			desconocido
460	etnología	18	23.59	995	2.34	10.24	50.99	12	Q43455	3	generico
461	lícito	15	19.66	832	1.96	10.20	42.40	11			desconocido
462	explicativo	28	36.69	1557	3.66	10.18	79.02	20			desconocido
463	consumidor	252	330.21	14018	32.99	10.17	710.98	59			desconocido
464	indiferencia	40	52.41	2226	5.24	10.17	112.82	11			desconocido
465	inconsistencia	25	32.76	1396	3.29	10.13	70.36	12			desconocido
466	argumentación	28	36.69	1567	3.69	10.11	78.69	15			desconocido
467	latour	11	14.41	616	1.45	10.10	30.90	7			desconocido
468	sincronía	11	14.41	617	1.45	10.09	30.87	7			desconocido
469	marxista	22	28.83	1239	2.92	10.05	61.58	14			desconocido
470	coda	21	27.52	1182	2.78	10.05	58.80	5			desconocido
471	desigualdad	146	191.31	8226	19.36	10.04	408.53	71			desconocido
472	ideario	27	35.38	1522	3.58	10.04	75.53	13			desconocido
473	presunción	21	27.52	1188	2.80	10.00	58.61	9			desconocido
474	identitario	17	22.28	962	2.26	10.00	47.43	14			desconocido
