selection_rank	term	freq_abs_domain	freq_rel_dom_ppm	freq_abs_global	freq_rel_glob_ppm	specificity_ratio	log_likelihood	n_articles	qid_wikidata	depth	nivel_abstraccion
160	chip	17	318.70	7477	17.60	18.15	66.39	6			desconocido
161	transmitido	28	524.91	12382	29.14	18.05	109.06	20			desconocido
162	envío	22	412.43	10017	23.58	17.53	84.48	16			desconocido
163	caracter	32	599.90	15037	35.39	16.98	120.98	9			desconocido
164	diagrama	18	337.45	8491	19.98	16.92	67.92	8			desconocido
165	esquema	39	731.13	18426	43.37	16.89	147.04	20			desconocido
166	lógico	28	524.91	13252	31.19	16.86	105.48	10			desconocido
167	llamada	36	674.89	17355	40.85	16.55	134.36	10			desconocido
168	erróneo	12	224.96	6016	14.16	15.92	43.91	5			desconocido
169	despliegue	14	262.46	7030	16.55	15.89	51.18	6			desconocido
170	dato	323	6055.27	163162	384.02	15.80	1177.19	62			desconocido
171	inventor	16	299.95	8159	19.20	15.65	58.03	6			desconocido
172	bloque	72	1349.78	36805	86.63	15.61	260.80	16			desconocido
173	dispositivo	94	1762.21	48495	114.14	15.47	338.88	35			desconocido
174	coherente	9	168.72	4713	11.09	15.24	32.19	6			desconocido
175	comunicaciones	20	374.94	10487	24.68	15.22	71.49	18			desconocido
176	hilo	22	412.43	11698	27.53	15.01	78.07	7			desconocido
177	tasa	77	1443.52	41375	97.38	14.85	271.73	20			desconocido
178	información	252	4724.23	135916	319.90	14.79	887.54	56			desconocido
179	potencia	93	1743.47	50396	118.61	14.72	326.73	32			desconocido
180	radiofónico	12	224.96	6718	15.81	14.25	41.43	6			desconocido
181	eficiencia	22	412.43	12334	29.03	14.23	75.90	16			desconocido
182	paquete	38	712.38	21673	51.01	13.99	129.88	12			desconocido
183	espectral	10	187.47	5743	13.52	13.89	34.05	8			desconocido
184	terrestre	62	1162.31	36061	84.87	13.72	209.65	17			desconocido
185	transición	51	956.09	29836	70.22	13.64	171.91	11			desconocido
186	ancho	35	656.14	20611	48.51	13.55	117.55	18			desconocido
187	propagación	13	243.71	7701	18.13	13.47	43.52	8			desconocido
188	implementar	36	674.89	22135	52.10	12.97	118.03	22			desconocido
189	comprobar	22	412.43	13794	32.47	12.72	71.34	7			desconocido
190	discreto	14	262.46	8786	20.68	12.71	45.37	8			desconocido
191	parámetro	24	449.93	15215	35.81	12.58	77.33	13			desconocido
192	tarifa	14	262.46	8888	20.92	12.56	45.07	5			desconocido
193	simultáneo	15	281.20	9625	22.65	12.43	48.00	13			desconocido
194	resultante	21	393.69	13582	31.97	12.33	66.89	14			desconocido
195	circuito	58	1087.32	38015	89.47	12.17	183.33	21			desconocido
196	remoto	16	299.95	10488	24.68	12.17	50.57	9			desconocido
197	implementación	25	468.67	16532	38.91	12.06	78.62	17			desconocido
198	prestación	15	281.20	10002	23.54	11.96	46.94	8			desconocido
199	canal	184	3449.44	124137	292.17	11.82	571.85	39			desconocido
200	repetición	13	243.71	8791	20.69	11.79	40.35	6			desconocido
201	fibra	27	506.17	18276	43.01	11.78	83.75	12			desconocido
202	eficiente	20	374.94	13771	32.41	11.58	61.41	17			desconocido
203	postal	13	243.71	9319	21.93	11.13	38.96	5			desconocido
204	probabilidad	27	506.17	19555	46.03	11.01	80.42	14			desconocido
205	sistemas	13	243.71	9459	22.26	10.96	38.61	8			desconocido
206	captar	11	206.22	8142	19.16	10.77	32.33	8			desconocido
207	ordenador	22	412.43	16426	38.66	10.68	64.31	9			desconocido
208	integridad	11	206.22	8214	19.33	10.68	32.15	5			desconocido
209	distancia	124	2324.62	92926	218.71	10.64	361.63	39			desconocido
210	inteligente	26	487.42	19747	46.48	10.50	75.20	12			desconocido
211	informático	18	337.45	13734	32.32	10.45	51.91	8			desconocido
212	patente	14	262.46	10874	25.59	10.27	39.92	6			desconocido
213	patrón	52	974.84	41190	96.95	10.07	146.44	12			desconocido
214	adyacente	19	356.19	15080	35.49	10.05	53.44	14			desconocido
